Geneid	data/sorted.bam
YOL124C	960
YOR212W	1580
YOL013W-A	3
YOL120C	16350
YOR181W	577
YOR333C	0
YOR335C	3924
YOL046C	5
YOL029C	271
YOL155W-A	13
YOR072W	13
YOL161C	0
snR58	14
YOL122C	1150
YOR252W	635
YOR157C	1689
YOL107W	322
YOR274W	437
YOL013W-B	9
YOR343C	25
YOR093C	1001
YOR381W-A	2
YOL065C	234
YOR092W	927
YOR207C	2050
YOR365C	95
YOL005C	434
YOL020W	1166
YOL053W	379
YOL117W	277
YOR038C	490
YOR303W	4080
YOR137C	421
YOL034W	541
YOR052C	1095
YOR190W	102
YOL039W	5316
YOR349W	271
YOL090W	1113
YOR271C	1816
YOR173W	136
YOR106W	271
YOR108W	2237
YOR059C	709
YOL149W	654
YOR121C	26
YOL106W	37
snR9	47
YOR295W	277
YOR203W	14
YOR132W	626
YOR216C	902
YOR099W	2215
YOR001W	815
YOR009W	93
YOR204W	1995
YOR209C	1631
YOR284W	189
YOR036W	579
YOR154W	492
YOR048C	1559
YOL073C	229
YOL152W	127
YOL101C	34
YOR085W	1215
YOR227W	961
YOR159C	423
YOR146W	0
YOR372C	583
YOR112W	479
YOR387C	31
YOR229W	307
YOR068C	0
YOR376W-A	25
YOL050C	13
YOR342C	915
YOL035C	7
YOR251C	733
YOR041C	0
YOR130C	500
YOR119C	594
YOL166C	1
YOR008C	1410
YOL011W	874
YOR248W	18
YOR202W	1471
YOR266W	383
YOR140W	382
YOR004W	716
YOR308C	322
YOR032C	100
YOR311C	870
YOL019W	825
YOL138C	635
YOL151W	743
YOR330C	797
YOR379C	0
YOR142W	1666
YOR268C	3
snR81	6
YOR017W	654
YOR394W	0
YOL134C	1
YOR002W	1451
YOR194C	1117
YOR298C-A	4412
YOL069W	300
YOR014W	1304
YOR346W	1057
YOR044W	71
YOR275C	463
YOR174W	467
YOR336W	821
YOL094C	339
YOR122C	2559
YOR256C	911
YOL137W	393
YOR350C	341
YOR196C	1050
YOR380W	182
YOR314W-A	0
tA(UGC)O	1
YOL097W-A	17
YOR376W	13
YOR369C	29940
YOL132W	67
YOR296W	424
YOR260W	1901
YOR373W	413
YOR163W	361
YOR029W	2
YOL042W	430
YOR316C	950
YOR326W	4902
YOR293C-A	12
YOL036W	666
YOR072W-B	0
YOR332W	476
YOL002C	838
YOR193W	306
YOR243C	1893
YOR126C	255
YOR070C	383
YOR328W	376
YOL056W	331
YOR098C	1297
YOL110W	288
YOR213C	367
YOR253W	841
YOR008C-A	12
YOL113W	687
YOR060C	139
YOL076W	1091
YOR186C-A	0
YOR381W	221
YOR113W	261
YOR273C	2084
tN(GUU)O1	0
YOR161W-A	0
YOL147C	879
YOR338W	64
YOR178C	226
YOR188W	961
YOL159C	151
YOR382W	68
YOL071W	344
YOR363C	594
YOR069W	544
YOR075W	371
YOR124C	1348
